Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Rank
TestGetByIdWithCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,277.3 μs,12.22 μs,24.69 μs,291.8 μs,1
TestGetAllWithCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,292.6 μs,1.21 μs,2.41 μs,292.6 μs,1
TestSearchNameWithCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,295.2 μs,1.23 μs,2.34 μs,295.0 μs,1
TestSearchTopicWithCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,298.4 μs,2.63 μs,5.13 μs,296.9 μs,1
TestGetByIdWithoutCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"2,070.3 μs",16.30 μs,32.93 μs,"2,065.0 μs",2
TestSearchTopicWithoutCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"2,201.8 μs",6.91 μs,13.95 μs,"2,201.5 μs",3
TestGetAllWithoutCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"2,259.2 μs",98.79 μs,199.55 μs,"2,388.2 μs",4
TestSearchNameWithoutCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"2,314.7 μs",4.91 μs,9.58 μs,"2,314.7 μs",5
TestDecrementQuantityWithoutCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"52,132.5 μs","36,846.66 μs","74,432.07 μs","2,103.8 μs",6
TestIncrementQuantityWithoutCache,Job-FILVJN,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,50,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"159,668.7 μs",445.30 μs,802.96 μs,"159,844.8 μs",7
