Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Min,Max,Iterations,Rank
TestGetAllWithCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,1.267 ms,0.9244 ms,4.818 ms,0.7187 ms,0.4264 ms,51.38 ms,300.0,1
TestSearchNameWithCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,1.276 ms,0.9247 ms,4.819 ms,0.7394 ms,0.4723 ms,53.70 ms,300.0,1
TestGetByIdWithCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,1.295 ms,0.9608 ms,5.007 ms,0.7396 ms,0.4620 ms,52.95 ms,300.0,1
TestSearchTopicWithCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,1.310 ms,0.9774 ms,5.094 ms,0.7418 ms,0.4730 ms,56.39 ms,300.0,1
TestGetByIdWithoutCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,2.654 ms,1.0126 ms,5.278 ms,1.9657 ms,1.4562 ms,60.27 ms,300.0,2
TestSearchNameWithoutCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,2.694 ms,1.0229 ms,5.331 ms,2.0235 ms,1.5641 ms,57.18 ms,300.0,2
TestGetAllWithoutCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,2.911 ms,2.0920 ms,10.903 ms,1.8469 ms,1.4553 ms,178.65 ms,300.0,3
TestSearchTopicWithoutCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,3.126 ms,2.1753 ms,11.337 ms,2.0261 ms,1.5483 ms,185.19 ms,300.0,4
TestUpdateQuantityWithoutCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,8.159 ms,12.0102 ms,62.594 ms,3.8590 ms,3.0299 ms,"1,085.96 ms",300.0,5
TestDecrementQuantityWithoutCache,Job-ABPSTG,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,1,120.052 ms,17.7702 ms,92.614 ms,155.0550 ms,2.2098 ms,578.28 ms,300.0,6
